,Exp1ImputeRMSE,Exp2ImputeModel,Exp2train_auroc,Exp2train_acc,Exp2train_bal_acc,Exp2train_logloss,Exp2test_auroc,Exp2test_acc,Exp2test_bal_acc,Exp2test_logloss,Exp2impute_auroc,Exp2impute_acc,Exp2impute_bal_acc,Exp2impute_logloss,Exp2impute_pipe,Exp2duration,Exp3ImputeModel,Exp3train_auroc,Exp3train_acc,Exp3train_bal_acc,Exp3train_logloss,Exp3impute_auroc,Exp3impute_acc,Exp3impute_bal_acc,Exp3impute_logloss,Exp3impute_pipe,Exp3duration
/tpot2_base_normal_MAR_0.01/,48.1425771069101,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.1711654099896451e-05,1.0,1.0,1.0,0.00041604850551430394,0.9999999201768689,0.9982758620689656,0.9992811112705021,0.0056602904530448925,['RandomForestClassifier_1'],6228.530864953995,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999993296183867,0.9999233716475096,0.9531746031746032,0.0008586497504916552,0.9999998949269152,0.9996551724137931,0.9995317928109403,0.0015239571380429016,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",6671.390026807785
/tpot2_base_normal_MAR_0.1/,19.92418068951374,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.4474300072526894e-05,1.0,1.0,1.0,0.0004091871708020299,0.9949502524979595,0.9736206896551725,0.9635587087253835,0.09008824915760587,['RandomForestClassifier_1'],6262.68949007988,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,1.3322676295501886e-15,0.9951764621679313,0.9582758620689655,0.8408135127812271,0.09631924519037727,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",7024.160539388657
/tpot2_base_normal_MAR_0.3/,60.670157273435464,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",1.0,1.0,1.0,1.5746319029905326e-05,1.0,1.0,1.0,0.0003839749779474521,0.9854593772584092,0.9762068965517241,0.737290879654614,0.06916878060944885,['RandomForestClassifier_1'],6392.6963613033295,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999847111722042,0.999367816091954,0.8612038754895898,0.0031724735919516824,0.9977457472337009,0.9760344827586207,0.6225682933723948,0.05059425383627062,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",17460.26883125305
/tpot2_base_normal_MAR_0.5/,19.154729557584837,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,0.9999808429118774,0.9968253968253968,0.00012497664041557992,1.0,1.0,1.0,0.00040381446142373603,0.9996432674555036,0.8917241379310344,0.9803214990756118,0.28793826138190914,['RandomForestClassifier_1'],6380.005407571793,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,1.3322676295501886e-15,0.9915891580029738,0.9043103448275862,0.7081193486002315,0.18157877796878974,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",10430.50180029869
/tpot2_base_normal_MAR_0.9/,21.832978952040573,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.8986648291654125e-05,1.0,0.9998275862068966,0.999563128003495,0.000464520008756374,0.9801855869810756,0.31603448275862067,0.6570948053381347,1.9495518336275997,['RandomForestClassifier_1'],5982.984314441681,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9994743362022616,0.9986206896551724,0.6955438278055092,0.005519242695191584,0.9451572889576949,0.8125862068965517,0.21135281393418529,0.5394566607247406,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",8556.079451560974
/tpot2_base_normal_MNAR_0.01/,31.0410934240963,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.365915758829719e-05,1.0,1.0,1.0,0.00041061729496660523,0.999997841797808,0.9972413793103448,0.9978764897033229,0.011033684624547754,['RandomForestClassifier_1'],6017.488536596298,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999999909324083,0.9999425287356322,0.9949701092558235,0.000545162913837191,1.0,0.9996551724137931,0.8571115219503024,0.001369521520582583,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",6693.718024253845
/tpot2_base_normal_MNAR_0.1/,43.50179945270632,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.5082994489348103e-05,1.0,1.0,1.0,0.0004046611247803492,0.9913362125775299,0.9682758620689655,0.816282726549957,0.1261201231563117,['RandomForestClassifier_1'],5941.089867591858,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999998228682584,0.9995977011494253,0.9678741567012656,0.0023728140706849887,0.9992641163268665,0.9979310344827587,0.7901473481538088,0.007632647866604582,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",9467.46711564064
/tpot2_base_normal_MNAR_0.3/,66.95932905725756,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",1.0,1.0,1.0,1.4853247288852249e-05,1.0,1.0,1.0,0.0003944329514618747,0.9801877575744476,0.9110344827586206,0.648758524129165,0.3803908338262518,['RandomForestClassifier_1'],6392.433781147003,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999821776319783,0.9971455938697318,0.831553611972604,0.011729704689740092,0.9993735022390402,0.9917241379310345,0.6010678786184395,0.02662106395299087,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",14225.4665081501
/tpot2_base_normal_MNAR_0.5/,34.12892060262077,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.4430986147065118e-05,1.0,1.0,1.0,0.00039076247809426276,0.9538364128139433,0.868448275862069,0.7439012184437337,0.7374567939670604,['RandomForestClassifier_1'],6481.515238285065,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9991663576589882,0.9735823754789272,0.4841340961869433,0.06953927199284894,0.9899209595687485,0.9677586206896551,0.48766644273066445,0.10197527651259693,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",15962.173909664154
/tpot2_base_normal_MNAR_0.9/,34.11651055353767,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,6.663373725028197e-05,1.0,1.0,1.0,0.00039018678722484927,0.6525544928977343,0.8012068965517242,0.17573948179482582,2.1779462135631222,['RandomForestClassifier_1'],6709.673350572586,"[('ExtraTreesClassifier_1', 'SimpleImputer_1')]",0.8839972241481131,0.8404597701149426,0.24221019183808581,0.46513875952302264,0.6709246030149435,0.8368965517241379,0.2416872686686025,0.4966695509270855,"[('ExtraTreesClassifier_1', 'SimpleImputer_1')]",21165.281099319458
