,Exp3ImputeRMSE
/tpot2_base_normal_MAR_0.01/,30.914269259803977
/tpot2_base_normal_MAR_0.1/,28.883096567449606
/tpot2_base_normal_MAR_0.3/,33.03446141570407
/tpot2_base_normal_MAR_0.5/,30.549486536710805
/tpot2_base_normal_MAR_0.9/,32.389760035637494
/tpot2_base_normal_MNAR_0.01/,29.50134423260539
/tpot2_base_normal_MNAR_0.1/,30.492314039272475
/tpot2_base_normal_MNAR_0.3/,32.21453102399719
/tpot2_base_normal_MNAR_0.5/,32.01359155582326
/tpot2_base_normal_MNAR_0.9/,30.691689873193646
/tpot2_base_normal_MCAR_0.01/,32.045593816963915
/tpot2_base_normal_MCAR_0.1/,31.22916142521212
/tpot2_base_normal_MCAR_0.3/,30.39573211408656
/tpot2_base_normal_MCAR_0.5/,30.59148367479998
/tpot2_base_normal_MCAR_0.9/,31.411718985078963
/tpot2_base_imputation_MAR_0.01/,35.91284830345996
/tpot2_base_imputation_MAR_0.1/,29.59925325719294
/tpot2_base_imputation_MAR_0.3/,30.851118199610738
/tpot2_base_imputation_MAR_0.5/,33.33265720847478
/tpot2_base_imputation_MAR_0.9/,33.77489140187005
/tpot2_base_imputation_MNAR_0.01/,
/tpot2_base_imputation_MNAR_0.1/,
/tpot2_base_imputation_MNAR_0.3/,
/tpot2_base_imputation_MNAR_0.5/,
/tpot2_base_imputation_MNAR_0.9/,33.77726647424067
/tpot2_base_imputation_MCAR_0.01/,
/tpot2_base_imputation_MCAR_0.1/,21.80957894359893
/tpot2_base_imputation_MCAR_0.3/,
/tpot2_base_imputation_MCAR_0.5/,
/tpot2_base_imputation_MCAR_0.9/,34.211793850770526
